iter	Passed	Remaining
0	20	10192
1	35	8910
2	50	8330
3	64	8038
4	78	7784
5	92	7637
6	106	7512
7	121	7470
8	135	7389
9	149	7345
10	164	7316
11	178	7249
12	191	7185
13	205	7138
14	217	7035
15	230	6974
16	246	7006
17	258	6933
18	271	6863
19	282	6786
20	294	6717
21	307	6681
22	319	6630
23	331	6582
24	343	6533
25	355	6487
26	368	6453
27	380	6411
28	391	6361
29	403	6320
30	415	6279
31	426	6239
32	438	6206
33	450	6176
34	462	6150
35	474	6115
36	485	6078
37	498	6055
38	509	6024
39	521	6000
40	536	6003
41	548	5976
42	559	5945
43	570	5915
44	582	5888
45	594	5868
46	606	5843
47	617	5818
48	629	5793
49	641	5774
50	653	5750
51	664	5726
52	676	5701
53	687	5679
54	699	5660
55	710	5635
56	722	5615
57	734	5594
58	745	5571
59	756	5548
60	768	5530
61	781	5519
62	794	5508
63	806	5496
64	819	5487
65	834	5488
66	847	5479
67	859	5459
68	871	5441
69	882	5421
70	894	5404
71	905	5384
72	917	5369
73	930	5355
74	941	5337
75	953	5319
76	964	5299
77	976	5280
78	987	5263
79	999	5245
80	1010	5227
81	1021	5208
82	1033	5193
83	1045	5177
84	1056	5157
85	1068	5141
86	1079	5123
87	1091	5107
88	1102	5093
89	1114	5078
90	1130	5080
91	1142	5066
92	1154	5051
93	1166	5037
94	1179	5028
95	1190	5011
96	1203	4999
97	1214	4983
98	1226	4968
99	1238	4954
100	1250	4938
101	1261	4922
102	1273	4907
103	1284	4892
104	1296	4878
105	1307	4861
106	1319	4845
107	1331	4833
108	1343	4818
109	1354	4803
110	1366	4789
111	1378	4775
112	1389	4758
113	1402	4747
114	1413	4733
115	1425	4718
116	1436	4702
117	1448	4690
118	1461	4680
119	1474	4668
120	1487	4659
121	1500	4647
122	1512	4634
123	1525	4624
124	1543	4630
125	1555	4615
126	1567	4603
127	1580	4592
128	1593	4582
129	1605	4568
130	1617	4554
131	1628	4540
132	1640	4527
133	1652	4514
134	1665	4502
135	1676	4488
136	1689	4476
137	1702	4465
138	1716	4457
139	1728	4444
140	1740	4430
141	1751	4416
142	1764	4404
143	1776	4391
144	1787	4376
145	1799	4363
146	1812	4351
147	1824	4339
148	1836	4325
149	1847	4311
150	1860	4299
151	1872	4286
152	1886	4278
153	1899	4267
154	1910	4253
155	1922	4238
156	1934	4225
157	1946	4214
158	1959	4201
159	1970	4187
160	1982	4174
161	1994	4160
162	2006	4147
163	2017	4133
164	2029	4119
165	2040	4105
166	2052	4092
167	2064	4080
168	2076	4066
169	2087	4052
170	2099	4039
171	2111	4026
172	2123	4013
173	2134	3998
174	2146	3986
175	2157	3972
176	2169	3958
177	2181	3946
178	2193	3933
179	2204	3919
180	2216	3906
181	2228	3893
182	2240	3881
183	2252	3868
184	2263	3854
185	2275	3841
186	2287	3828
187	2299	3815
188	2314	3808
189	2326	3795
190	2337	3781
191	2349	3769
192	2361	3756
193	2373	3743
194	2385	3730
195	2396	3717
196	2409	3705
197	2420	3692
198	2433	3680
199	2445	3668
200	2456	3654
201	2468	3641
202	2480	3629
203	2491	3615
204	2503	3602
205	2515	3589
206	2527	3577
207	2542	3568
208	2554	3556
209	2565	3543
210	2578	3531
211	2590	3519
212	2601	3505
213	2613	3492
214	2625	3479
215	2636	3466
216	2648	3454
217	2660	3441
218	2672	3429
219	2686	3418
220	2697	3406
221	2710	3393
222	2722	3381
223	2734	3368
224	2745	3355
225	2757	3343
226	2769	3330
227	2781	3318
228	2793	3305
229	2804	3292
230	2816	3279
231	2828	3267
232	2840	3254
233	2851	3241
234	2863	3229
235	2874	3215
236	2886	3202
237	2898	3190
238	2910	3178
239	2921	3165
240	2933	3152
241	2945	3139
242	2956	3127
243	2968	3114
244	2980	3102
245	2992	3089
246	3004	3077
247	3015	3064
248	3027	3051
249	3038	3038
250	3053	3029
251	3067	3018
252	3080	3007
253	3092	2995
254	3104	2982
255	3115	2969
256	3127	2957
257	3139	2944
258	3151	2932
259	3163	2919
260	3176	2908
261	3188	2896
262	3200	2884
263	3213	2872
264	3224	2859
265	3237	2848
266	3250	2836
267	3262	2824
268	3274	2811
269	3286	2799
270	3299	2788
271	3311	2776
272	3325	2765
273	3337	2753
274	3350	2741
275	3362	2729
276	3374	2716
277	3386	2704
278	3398	2692
279	3410	2679
280	3422	2667
281	3434	2654
282	3447	2643
283	3460	2631
284	3471	2619
285	3483	2606
286	3495	2594
287	3507	2581
288	3519	2569
289	3531	2557
290	3545	2546
291	3557	2533
292	3568	2521
293	3579	2508
294	3591	2495
295	3603	2483
296	3616	2471
297	3628	2459
298	3640	2447
299	3652	2434
300	3665	2423
301	3677	2410
302	3688	2398
303	3700	2385
304	3712	2373
305	3724	2361
306	3736	2348
307	3748	2336
308	3759	2324
309	3771	2311
310	3782	2298
311	3794	2286
312	3806	2274
313	3818	2261
314	3829	2249
315	3842	2237
316	3853	2224
317	3865	2212
318	3878	2200
319	3890	2188
320	3902	2176
321	3913	2163
322	3926	2151
323	3938	2139
324	3950	2127
325	3963	2115
326	3975	2103
327	3989	2091
328	4002	2080
329	4015	2068
330	4028	2056
331	4041	2045
332	4054	2033
333	4068	2021
334	4081	2010
335	4094	1998
336	4107	1986
337	4119	1974
338	4133	1963
339	4146	1951
340	4160	1939
341	4173	1928
342	4185	1916
343	4197	1903
344	4210	1891
345	4222	1879
346	4236	1867
347	4248	1855
348	4260	1843
349	4272	1831
350	4285	1819
351	4297	1807
352	4311	1795
353	4325	1783
354	4338	1772
355	4351	1760
356	4364	1748
357	4376	1736
358	4390	1724
359	4403	1712
360	4417	1700
361	4429	1688
362	4443	1676
363	4455	1664
364	4469	1653
365	4482	1641
366	4494	1628
367	4507	1616
368	4519	1604
369	4532	1592
370	4551	1582
371	4565	1570
372	4579	1559
373	4595	1548
374	4608	1536
375	4622	1524
376	4638	1513
377	4653	1501
378	4667	1490
379	4681	1478
380	4695	1466
381	4708	1454
382	4721	1442
383	4732	1429
384	4744	1417
385	4756	1404
386	4768	1392
387	4781	1380
388	4793	1367
